"l","m","n","a","omega1"
2,-2,0,0.85,"0.015749028209443694293811192952830817834139772637642999780397773783522 + 0.015772684779409907841421719834669361526178010006718697384334389375796i"
2,-2,0,0.9,"0.01467308256225554476563012503571242025964067919979123287780555607535 + 0.015193565081464209920429766862271614311238595879671518875374490867416i"
2,-2,0,0.91,"0.014400599984218897212436563508780034316672361642222463458951477013312 + 0.015045486688976090442700425644954657245072864122052010131975503417809i"
2,-2,0,0.92,"0.01410389805243498710857008597164790506341412499611657286846830614431 + 0.01488495515174203675886696731166401591494321461600886798515976964553i"
2,-2,0,0.93,"0.01377967456253079704495523159547093460242005987999669983440263561987 + 0.01471084328697375690879009368529910738167880829472690172956878728667i"
2,-2,0,0.94,"0.01342369149919343862488275382795032349479370814696861459202039777122 + 0.01452167942338334356774288168726950830892685383401861765470968089634i"
2,-2,0,0.95,"0.01303035189235218501951212662790282088057647764752445061604826877538 + 0.01431548581553909521450002554362856681506639656073875876311325206091i"
2,-2,0,0.96,"0.01259197115755310201643632758656874810800818606902412961060647204279 + 0.01408949953708928254274844635715377482243616152331887863169491502329i"
2,-2,0,0.97,"0.01209739526883060043705846489267992303990584309113539452635932857367 + 0.01383964096597069427666032508799082427709457953977834863579384424996i"
2,-2,0,0.98,"0.01152897298670294591821612354649777946827423797231313803884424535178 + 0.01355934109891511052215927236933296735840490205125982039846169003248i"
2,-2,0,0.99,"0.0108539989552246130486060098418284405785271235192282233812819119784 + 0.0132362996591129442230451924525405760564850744613159886425397717401i"
2,-1,0,0.05,"0.001216683388713661282471654109144794692941302726393988174173318942485144 + 0.001134360974014477072208039623854302825168955409312368117345513010371023i"
2,-1,0,0.1,"0.0023047597446238201732099301500150115105926501566467561675196405497422 + 0.00225256072448254088639612276253105235252961718423357729431197126140668i"
2,-1,0,0.15,"0.00326909485866030931821306893464285807683272732313061504514711727003197 + 0.00336036809330754400071305162759519437039782678041619646641848582248424i"
2,-1,0,0.2,"0.0041143569678012887446854852581089178968704746072718803375494135946987 + 0.0044632323799833614105252482930818272605543163299718838053488971627758i"
2,-1,0,0.25,"0.0048451082537842875691860548312872805054210065588931583270543809751488 + 0.0055664711309651982492017413383551847924400300707798451635822427762116i"
2,-1,0,0.3,"0.0054659190080779611816732358997425643746243909375113756254452485651744 + 0.006675440762324659565706049261356468183124627198385136295202770375169i"
2,-1,0,0.35,"0.0059815152921232316981854158306253285048120969933017957063104433226416 + 0.0077957034482536566322256903680959555377886653670325945230481118983663i"
2,-1,0,0.4,"0.0063969774094924219696559276768862154892191064386409368841498364432673 + 0.0089332029955391737077493443207208281534579660143522334114361730445384i"
2,-1,0,0.45,"0.0067180173088794090453236015094676490448882910271970092549804483153184 + 0.0100944638077628154486442634436931731861793285364355163300448864765489i"
2,-1,0,0.5,"0.006951381753819280381154825008194082431459796154282877210570222786499 + 0.011286831351022407417747679405904684532429986914649755491546815829397i"
2,-1,0,0.55,"0.007105461739204619533073131970428762333184228885317406823897165635809 + 0.012518782014208061864003794570334939499895567662829753631176318080518i"
2,-1,0,0.6,"0.007191251450219295419599519173572447630406391131850699274117260110378 + 0.013800350348456952714698698351369915408533256062487868687956509372449i"
2,-1,0,0.65,"0.007223922364376479946411104949197306654061013869994743960452782938217 + 0.015143765637896606461260558594852522903997983492865420800726809160752i"
2,-1,0,0.7,"0.00722552814630022313747072064161190096605265704483403420190794138102 + 0.016564491363992793224914380107597547567051913873938181384799030207489i"
2,-1,0,0.75,"0.007229898901500165403352692481359535070075211716911404559906675376868 + 0.018083111455133080651930851836652480592826334953459152917627837334556i"
2,-1,0,0.8,"0.007292060290070513656317486055471464022993379921454703455742427574214 + 0.019729170937922973240990511904766441836045787948286615450401178614011i"
2,-1,0,0.85,"0.007507889676205747123477794485052870546914849842563861481316128447172 + 0.021550009898977594180603270904762012187922818322870525643243329759995i"
2,-1,0,0.9,"0.008060533248520930612680723942019444590851091899298519252443746400067 + 0.023634100948498386876512346557654482145569038609186629811182037492453i"
2,-1,0,0.91,"0.008240089129288127545729384129458673123012914925237718536567208674373 + 0.024096623066757066980447198216244020933648926235097602999039957798318i"
2,-1,0,0.92,"0.00845257162204480538430511371576203222334634785791239815120341400121 + 0.02457942031600619658546162111355171378036207464511588219025941931513i"
2,-1,0,0.93,"0.00870423598883739574468528045875633182348125789906780656275479383935 + 0.02508574507101906601800316289693145065297639292042425550841370385868i"
2,-1,0,0.94,"0.00900300812430154803613651466707499389087778834624354652263343219489 + 0.02561976547527955063002650369874421396106512417567685752061827988353i"
2,-1,0,0.95,"0.00935921603246429738066810083819479539735508252498250183440444072091 + 0.02618696265252544601853485697727495368286623256237539687876616837047i"
2,-1,0,0.96,"0.00978683961776813025368796289006544865807518923662896376885856963074 + 0.02679479751547481081373450759526528886914757958882098127305279286705i"
2,-1,0,0.97,"0.0103058618528915450094808457703972058299563406207708608522205581725 + 0.02745393881750078296419341535938884107357261938951935417192013289422i"
2,-1,0,0.98,"0.0109473784085220422497892200658484709651118017839329219387262571026 + 0.028180863165921366629664258174351337954154484138612217134878553163i"
2,-1,0,0.99,"0.0117678619082646237597377711414377003253329687649588529474994161485 + 0.0290048998346305636824172356650216532138720422656001745095601696038i"
2,0,0,0.05,"-0.000053585487331804580511199965580756624635001174733886482285574809626611 + 0.000021698506649357647650851037983171624458799451692380728377017281402894i"
2,0,0,0.1,"-0.0002136005901160400668795268220229024137618682231755355052787587253263 + 0.00008712854919371899777138603863941533554132203081553834459834625751015i"
2,0,0,0.15,"-0.00047775734208851412985117688409877035556049858336934584909317987055031 + 0.0001973190303853173027694588882986980860229854669027958603148239285311i"
2,0,0,0.2,"-0.00084202253950648587144934310558382080129280227093242746822243073360945 + 0.00035407248518298557979585848207443109185050705685999525837974065647363i"
2,0,0,0.25,"-0.00130026231294154861972569680741934644329200210610736148332880799283422 + 0.00056010861883809963537362112913956198023677834974704825872703187053616i"
2,0,0,0.3,"-0.001843688976194920753487103770286803466843059183986324121569667988172 + 0.000819291680737165116465008899698654961005561939358650116808636549674i"
2,0,0,0.35,"-0.0024600429891550550453691923751959391044820967928852716389514792846228 + 0.0011369744950531538321690504347038601133412495958735552713949245100054i"
