"l","m","n","a","omega1"
2,-1,0,0.2,"0.004114356967801288744716445489930949195655095504606483585233882364071 + 0.004463232379983361410539654997288133073434574197385110168411617456413i"
2,-1,0,0.25,"0.004845108253784287569253926630142551970071192439936856729649549926921 + 0.005566471130965198249184578598155937112782624091744272275677408205676i"
2,-1,0,0.3,"0.005465919008077961181748066871546735742707265674863041249807829128576 + 0.006675440762324659565585908877886636069589116137708672439933740543321i"
2,-1,0,0.35,"0.005981515292123231698099456002953816370779223080596327277650509427894 + 0.007795703448253656631950652241496684412314052358430496063035278121196i"
2,-1,0,0.4,"0.00639697740949242196908275142206614102592005952964938525387170909947 + 0.00893320299553917370757109086221257264971045412910068080758172872534i"
2,-1,0,0.45,"0.00671801730887940904440647542421089731080310877530682250021805208834 + 0.01009446380776281544956310038305673270924633801502798058829064907566i"
2,-1,0,0.5,"0.00695138175381928038242448731683206965658970063159374245404356995778 + 0.01128683135102240742042288788552734202689275768960846719018836035348i"
2,-1,0,0.55,"0.00710546173920461954007339480598182650994084295404916314271022506477 + 0.01251878201420806186212795485846519737264188259585302344211820859647i"
2,-1,0,0.6,"0.00719125145021929541437646017481197942408583999658228506674272004125 + 0.01380035034845695269603013916518755235146902223789041123010634228481i"
2,-1,0,0.65,"0.00722392236437647989599949016933332969832393235433039504933089035879 + 0.01514376563789660649031857459628319516436813765596024396820556074699i"
2,-1,0,0.7,"0.0072255281463002233173265410118373786851735203404545450717443814546 + 0.01656449136399279332285331342187119183408904114242290409364771149973i"
2,-1,0,0.75,"0.00722989890150016502539613824102563004567368409745397420009142883849 + 0.01808311145513307985033862566886515813515129200213989793361419811638i"
2,-1,0,0.8,"0.00729206029007051549411234048982199692704343729949173176419540946794 + 0.01972917093792297816058282916498351397323152146699247627972113697648i"
2,-1,0,0.85,"0.00750788967620570267263874649709600367353707418662696521705851411431 + 0.02155000989897757163078824311661556964528707368962633031036588898351i"
2,-1,0,0.9,"0.0080605332485208304378831165140709823308355342133357615650756131931 + 0.0236341009484972911479266296672805081924827899144271074376676137362i"
2,-1,0,0.91,"0.008240089129285822434310487695207858995952801389735411931245096275 + 0.0240966230667567520847469973064777931082150401542524651427342276537i"
2,-1,0,0.92,"0.008452571622043618251269506772772461825047353443758983591046635375 + 0.0245794203160118530960909075594513321738886020861104337274708002301i"
2,-1,0,0.93,"0.0087042359888518560936964510241082054382476869422543341475710252706 + 0.0250857450710220415628619097030426999791488182633176504318567379674i"
2,-1,0,0.94,"0.0090030081242932389273522201301085434706702829027123797913145982308 + 0.0256197654752338163953333045866722838500251997788247489371444624682i"
2,-1,0,0.95,"0.009359216032350591606001295628943260689760322825850478609805974288 + 0.026186962652616494203004549028782833718486822995330950552782420798i"
2,-1,0,0.96,"0.0097868396184996701569109935493498271039770754769269102207873207478 + 0.0267947975155336791338859010748006772273274323576644761387299125201i"
2,-1,0,0.97,"0.0103058618490600517978742845114329659557501911382720700616194580272 + 0.0274539388164920276293685819115394452003338552791513058099474062164i"
2,-1,0,0.98,"0.0109473784580520579417299241956566160398204260532996985457034270206 + 0.0281808630344403097019288988328263556855596432492778469800917883438i"
2,-1,0,0.99,"0.011767873159948770645807486863654155538000689545147002398588641391 + 0.029004869191008589188018315662396956960425622227990993688778791569i"
2,0,0,0.05,"-0.000053585487331804580511380785422579637000332656492341072180289924571 + 0.0000216985066493576476514053158947846890944733239761685651924825164699i"
2,0,0,0.1,"-0.0002136005901160400668800061131574880593808478570305967136552368085943 + 0.0000871285491937189977738113301907295999911054559248543111748884522455i"
